Brand,Product,Price,Image_Link,Product_Link
PradaÂ,Paradoxe Eau de Parfum,$110.00 - $180.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/paradoxe-eau-de-parfum-pimprod2034721?sku=2599792
LancÃ´meÂ,La Vie Est Belle Vanille Nude Eau de Parfum,$35.00 - $164.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/la-vie-est-belle-vanille-nude-eau-de-parfum-pimprod2053620?sku=2642178
Ariana GrandeÂ,MOD Vanilla Eau de Parfum,$50.00 - $72.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/mod-vanilla-eau-de-parfum-pimprod2036424?sku=2604557
KHLOÃ KARDASHIANÂ,XO KHLOÃ,$58.00 - $80.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/xo-khloe-pimprod2049077?sku=2632566
Yves Saint LaurentÂ,Libre Eau de Parfum Intense,$115.00 - $185.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/libre-eau-de-parfum-intense-pimprod2018118?sku=2569350
CHANELÂ,CHANCE EAU TENDRE Eau de Parfum Spray,$143.00 - $176.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/chance-eau-tendre-eau-de-parfum-spray-pimprod2015977?sku=2539926
Marc JacobsÂ,Perfect Absolute Eau de Parfum,$99.00 - $170.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/perfect-absolute-eau-de-parfum-pimprod2054176?sku=2645575
GucciÂ,Flora Gorgeous Gardenia Eau de Parfum,$111.00 - $181.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/flora-gorgeous-gardenia-eau-de-parfum-pimprod2026913?sku=2586738
Yves Saint LaurentÂ,Black Opium Eau de Parfum,$99.00 - $220.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/black-opium-eau-de-parfum-xlsImpprod12951153?sku=2292759
VersaceÂ,Bright Crystal Eau de Toilette,$78.00 - $179.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/bright-crystal-eau-de-toilette-VP12312?sku=2137636
Ariana GrandeÂ,God Is A Woman Eau de Parfum,$50.00 - $72.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/god-a-woman-eau-de-parfum-pimprod2026595?sku=2586366
MUGLERÂ,Alien Goddess Supra Florale Eau de Parfum,sale price $75.00 - $98.00$75.00 - $98.00list price $98.00 - $150.00$98.00 - $150.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/alien-goddess-supra-florale-eau-de-parfum-pimprod2040063?sku=2609078
NematÂ,Vanilla Musk Eau de Parfum,sale price $44.99$44.99list price $59.99$59.99,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/vanilla-musk-eau-de-parfum-pimprod2042584?sku=2619850
