Brand,Product,Price,Image_Link,Product_Link,summary,Fragrance Family,Key Notes,Benefits,How To Use,Ingredients
PiretteÂ,Pirette Eau de Parfum,$78.00,,https://www.ulta.com/p/pirette-eau-de-parfum-pimprod2024961?sku=2583172,"Based on their best selling Fragrance Oil, discover PIRETTE, the iconic beach scent from Newport Beach. Inspired by fresh green coconut, surf wax, sunscreen and that sun-washed feeling after a day at the beach, now available in an Eau de Parfum.",,,"Flagship fragrance ingredients in the PIRETTE line are safe and non-toxicAlcohol-free for sensitive skinFree of parabens, silicone, sulfate, BHT, BHA, PEGs, phthalate, and phosphateEau de Parfum is made in the U.S.A. Item 2583172",,
HALLYÂ,Lady H Alcohol-Free Hair Perfume,sale price $23.40$23.40list price $39.00$39.00,,https://www.ulta.com/p/lady-h-alcohol-free-hair-perfume-pimprod2051610?sku=2639045,"A delicate hair perfume with a touch of ripe cherry, jasmine vanilla, and deep moss. Formulated with Aquafine technology, Lady H is completely alcohol-free and delivers instant shine.",,,"Alcohol-free, lightweight hydration that doesn't dry or weigh down hairBeautifully balanced scentGentle on hair, improves hair shine and revives textureProtection against dryness and environmental stressors Item 2639045",,
Oak EssentialsÂ,Santo Wood Eau de Parfum,$120.00,,https://www.ulta.com/p/santo-wood-eau-de-parfum-pimprod2048747?sku=2631920,Oak Essentials Santo Wood Eau de Parfum is a perfume with musky and woody notes that seamlessly melt into skin for a natural fragrance thatâs signature to each wearer.,Woody & Musky,"Top: anise, eucalyptus, Italian bergamotMiddle: palo santo, Ceylon black tea, black muskBase: papyrus, white birch, sandalwood Item 2631920",,,
GucciÂ,Bamboo Eau de Toilette,$110.00 - $130.00,,https://www.ulta.com/p/bamboo-eau-de-toilette-xlsImpprod14531021?sku=2306552,"Fresher and brighter, Bamboo Eau de Toilette unfolds with a sheer sensuality. Sparkling Mediterranean citruses radiate from the top while the scentâs white floral heart is illuminated with dewy petals, underscored with the lasting signature notes of the original essence.",Woody,"Top - bergamot, orange blossom, pear, mandarin essenceMiddle - lily, ylang ylang extra comoros, sambac jasmine petalsBase - ambergris, sandalwood, vanilla, white musky notes Item 2306552",,,
MoschinoÂ,Toy 2 Bubble Gum Eau de Toilette,$89.00,,https://www.ulta.com/p/toy-2-bubble-gum-eau-de-toilette-pimprod2026935?sku=2581366,Toy 2 Bubble Gum Eau de Toilette is a fragrance by Moschino encased in the iconic teddy bear! Bubble Gum fragrance envelopes the body and stimulates the mind.,,"Top: Candied Citrus, Italian Lemon, Italian OrangeMiddle: Bubble Gum Accord, Cinnamon, Blueberries, Ginger, Bulgarian Rose, Juicy Peach, Peach BlossomBase: Cedar Wood, Ambrofix, Silky Musk Cocktail Item 2581366",,,
NematÂ,Jasmine Blossom Eau de Parfum,sale price $48.74$48.74list price $64.99$64.99,,https://www.ulta.com/p/jasmine-blossom-eau-de-parfum-pimprod2042586?sku=2619852,"The Jasmine Blossom Eau de Parfum by Nemat is a sensual and soothing aroma. It is inspired by the age-old tradition of wearing jasmine flowers as a hair garland. The fragrance has been crafted with the absolute from flowers of Jasmine Sambac, also know as Mogra in India.",,Top - orange blossomMiddle - jasmine petalsBase - creamy sandalwood Item 2619852,,,
CHANELÂ,COCO Eau de Parfum Refillable Spray,$135.00,,https://www.ulta.com/p/coco-eau-de-parfum-refillable-spray-pimprod2015850?sku=2019069,CHANEL COCO Eau de Parfum expresses the intensity of Gabrielle Chanel's personality. Available in a refillable spray you can take with you anywhere.,Spicy,MandarinPatchouli Item 2019069,,,
CliniqueÂ,Happy Couple Perfume Gift Set,$99.00Kit Price ($140 value)($140 value),,https://www.ulta.com/p/happy-couple-perfume-gift-set-pimprod2054104?sku=2641242,Clinique Happy Couple Perfume Gift Set features Clinique's bestselling citrus-floral fragrance for happiness at home and on the go.,,,"Fragrance-favorite Clinique Happy perfume balances fresh, vibrant notes - ruby red grapefruit, bergamot - with soft, sensual ones - Hawaiian wedding flower, spring mimosa.Includes one full size for home and one travel size.Allergy tested.",,
ChloÃ©Â,ChloÃ© Eau de Toilette Rose Tangerine,$99.00,,https://www.ulta.com/p/chloe-eau-de-toilette-rose-tangerine-pimprod2017144?sku=2570052,"ChloÃ© Eau de Toilette Rose Tangerine unfurls a sparkling rose. Hints of rose meld with a fruity flash of tangerine. Vivid blackcurrant with verdant undertones reinforces the vibrant character. A base of cedar and white amber lingers for streamlined, ultra-contemporary elegance.",Floral,Top - tangerine essenceMiddle - fresh rose absoluteBase - blackberry Item 2570052,,,
freshÂ,Hesperides Grapefruit Eau de Parfum,$58.00,,https://www.ulta.com/p/hesperides-grapefruit-eau-de-parfum-pimprod2041793?sku=2617788,"Clean your mind and relish in the warmth of an Italian summer with Fresh's best-selling fragrance Hesperides Grapefruit Eau de Parfum, featuring crisp notes of pink grapefruit wrapped in a citrus medley. This energizing, clean-smelling fragrance is enclosed in an apothecary-style glass bottle.",Citrus,GrapefruitItalian lemonRhubarb Item 2617788,,,
